pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
sstat-236,node-sstat-bldgescdown-lobby,node-sstat-outmainstair-lobby,,1,0,23.7744000,23.7744000,,,,,"Bottom of escalators from Commuter Rail concourse to Bottom of stairs for Summer Street, Atlantic Avenue, Amtrak, Commuter Rail",,"Summer Street, Atlantic Avenue, Amtrak, Commuter Rail",
sstat-237,node-sstat-bldgescdown-lobby,node-926-lobby,,1,0,32.3088000,32.3088000,,,,,Bottom of escalators from Commuter Rail concourse to Bottom of Elevator 926,,"Bus Terminal, Summer Street, Atlantic Avenue, Commuter Rail, Amtrak",
sstat-238,node-sstat-bldgescdown-lobby,node-sstat-finctrstair-lobby,,1,0,51.2064000,51.2064000,,,,,"Bottom of escalators from Commuter Rail concourse to Bottom of stairs for Summer Street, Atlantic Avenue, Financial Center",,"Summer Street, Atlantic Avenue, Financial Center",
sstat-239,node-sstat-bldgescdown-lobby,node-387-lobby,,1,0,51.2064000,51.2064000,,,,,Bottom of escalators from Commuter Rail concourse to Bottom of Escalator 387,,"Summer Street, Atlantic Avenue, Financial Center",
sstat-240,node-sstat-bldgescdown-lobby,node-386-lobby,,1,0,51.2064000,51.2064000,,,,,Bottom of escalators from Commuter Rail concourse to Bottom of Escalator 386,,"Summer Street, Atlantic Avenue, Financial Center",
sstat-241,node-sstat-deweystair-lobby,node-6476-lobby,,1,0,92.0496000,92.0496000,,,,,"Bottom of stairs for Summer Street, Atlantic Avenue to Bottom of Elevator 6476",,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-242,node-949-lobby,node-6476-lobby,,1,0,95.4024000,95.4024000,,,,,Bottom of Elevator 949 to Bottom of Elevator 6476,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-243,node-424-lobby,node-6476-lobby,,1,0,92.0496000,92.0496000,,,,,Bottom of Escalator 424 to Bottom of Elevator 6476,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-244,node-sstat-reservestair-lobby,node-6476-lobby,,1,0,76.5048000,76.5048000,,,,,"Bottom of stairs for Atlantic Avenue, Summer Street to Bottom of Elevator 6476",,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-245,node-sstat-outmainstair-lobby,node-6476-lobby,,1,0,36.8808000,36.8808000,,,,,"Bottom of stairs for Summer Street, Atlantic Avenue, Amtrak, Commuter Rail to Bottom of Elevator 6476",,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-246,node-926-lobby,node-6476-lobby,,1,0,45.4152000,45.4152000,,,,,Bottom of Elevator 926 to Bottom of Elevator 6476,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-247,node-sstat-finctrstair-lobby,node-6476-lobby,,1,0,64.3128000,64.3128000,,,,,"Bottom of stairs for Summer Street, Atlantic Avenue, Financial Center to Bottom of Elevator 6476",,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-248,node-387-lobby,node-6476-lobby,,1,0,64.3128000,64.3128000,,,,,Bottom of Escalator 387 to Bottom of Elevator 6476,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-249,node-386-lobby,node-6476-lobby,,1,0,64.3128000,64.3128000,,,,,Bottom of Escalator 386 to Bottom of Elevator 6476,,Silver Line Dudley / Bus Terminal / Commuter Rail,
sstat-250,node-6476-lobby,node-sstat-deweystair-lobby,,1,0,92.0496000,92.0496000,,,,,"Bottom of Elevator 6476 to Bottom of stairs for Summer Street, Atlantic Avenue",,"Summer Street, Atlantic Avenue",
sstat-251,node-6476-lobby,node-949-lobby,,1,0,95.4024000,95.4024000,,,,,Bottom of Elevator 6476 to Bottom of Elevator 949,,"Summer Street, Atlantic Avenue",
sstat-252,node-6476-lobby,node-424-lobby,,1,0,92.0496000,92.0496000,,,,,Bottom of Elevator 6476 to Bottom of Escalator 424,,"Summer Street, Atlantic Avenue",
sstat-253,node-6476-lobby,node-sstat-reservestair-lobby,,1,0,76.5048000,76.5048000,,,,,"Bottom of Elevator 6476 to Bottom of stairs for Atlantic Avenue, Summer Street",,"Atlantic Avenue, Summer Street",
sstat-254,node-6476-lobby,node-sstat-outmainstair-lobby,,1,0,36.8808000,36.8808000,,,,,"Bottom of Elevator 6476 to Bottom of stairs for Summer Street, Atlantic Avenue, Amtrak, Commuter Rail",,"Summer Street, Atlantic Avenue, Amtrak, Commuter Rail",
sstat-255,node-6476-lobby,node-926-lobby,,1,0,45.4152000,45.4152000,,,,,Bottom of Elevator 6476 to Bottom of Elevator 926,,"Bus Terminal, Summer Street, Atlantic Avenue, Commuter Rail, Amtrak",
sstat-256,node-6476-lobby,node-sstat-finctrstair-lobby,,1,0,64.3128000,64.3128000,,,,,"Bottom of Elevator 6476 to Bottom of stairs for Summer Street, Atlantic Avenue, Financial Center",,"Summer Street, Atlantic Avenue, Financial Center",
sstat-257,node-6476-lobby,node-387-lobby,,1,0,64.3128000,64.3128000,,,,,Bottom of Elevator 6476 to Bottom of Escalator 387,,"Summer Street, Atlantic Avenue, Financial Center",
sstat-258,node-6476-lobby,node-386-lobby,,1,0,64.3128000,64.3128000,,,,,Bottom of Elevator 6476 to Bottom of Escalator 386,,"Summer Street, Atlantic Avenue, Financial Center",
sstat-259,node-sstat-north-farepaid,node-sstat-419stair-lobby,,1,0,16.1544000,16.1544000,,,,,"Paid side of fare gates to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-260,node-sstat-north-farepaid,node-419-lobby,,1,0,13.7160000,13.7160000,,,,,Paid side of fare gates to Top of Escalator 419,,Red Line - All trains,
sstat-261,node-sstat-north-farepaid,node-399-lobby,,1,0,13.7160000,13.7160000,,,,,Paid side of fare gates to Top of Escalator 399,,Red Line - All trains,
sstat-262,node-sstat-north-farepaid,node-sstat-399stair-lobby,,1,0,14.9352000,14.9352000,,,,,"Paid side of fare gates to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-263,node-sstat-north-farepaid,node-901-lobby,,1,0,28.3464000,28.3464000,,,,,Paid side of fare gates to Lobby level of Elevator 901,,Red Line - Elevator,
sstat-264,node-sstat-north-farepaid,node-388-lobby,,1,0,26.8224000,26.8224000,,,,,Paid side of fare gates to Top of Escalator 388,,Silver Line - Drop-off only,
sstat-265,node-sstat-north-farepaid,node-sstat-388stair-lobby,,1,0,25.2984000,25.2984000,,,,,Paid side of fare gates to Top of stairs for drop-off only platform,,Silver Line - Drop-off only,
sstat-266,node-sstat-north-farepaid,node-sstat-918stair-lobby,,1,0,16.1544000,16.1544000,,,,,Paid side of fare gates to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-267,node-sstat-north-farepaid,node-918-lobby,,1,0,14.3256000,14.3256000,,,,,Paid side of fare gates to Lobby level of Elevator 918,,Silver Line - SL1/SL2/SL3,
sstat-268,node-sstat-north-farepaid,node-sstat-411stair-lobby,,1,0,19.8120000,19.8120000,,,,,Paid side of fare gates to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-269,node-sstat-north-farepaid,node-411-lobby,,1,0,18.2880000,18.2880000,,,,,Paid side of fare gates to Top of Escalator 411,,Silver Line - SL1/SL2/SL3,
sstat-270,node-sstat-419stair-lobby,node-sstat-north-farepaid,,1,0,16.1544000,16.1544000,,,,,"Top of stairs for Red Line, Silver Line lobby to Paid side of fare gates",,"Red Line, Silver Line - SL1/SL2/SL3",
sstat-271,node-419-lobby,node-sstat-north-farepaid,,1,0,13.7160000,13.7160000,,,,,Top of Escalator 419 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL4",
